number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
109,0.8111268448197121,2026-09-21 14:55:13.230858,2026-09-21 14:55:16.217213,0 days 00:00:02.986355,0.6558313244277707,1.157525455502642,0.033994032154743704,6,4.309557173441464,550,0.03492978873739755,0.938423169491736,,"{""colsample_bytree"": 0.6558313244277707, ""gamma"": 1.157525455502642, ""learning_rate"": 0.033994032154743704, ""max_depth"": 6, ""min_child_weight"": 4.309557173441464, ""n_estimators"": 550, ""reg_lambda"": 0.03492978873739755, ""subsample"": 0.938423169491736}",COMPLETE
110,0.8142964510570364,2026-09-21 14:55:16.218420,2026-09-21 14:55:18.718280,0 days 00:00:02.499860,0.6576697557790618,1.5630985055561155,0.03606421232513677,6,4.788560380798443,550,0.008515459066509277,0.9594753325106983,,"{""colsample_bytree"": 0.6576697557790618, ""gamma"": 1.5630985055561155, ""learning_rate"": 0.03606421232513677, ""max_depth"": 6, ""min_child_weight"": 4.788560380798443, ""n_estimators"": 550, ""reg_lambda"": 0.008515459066509277, ""subsample"": 0.9594753325106983}",COMPLETE
111,0.8123668819206031,2026-09-21 14:55:18.718472,2026-09-21 14:55:21.979129,0 days 00:00:03.260657,0.5994933652105375,1.2350691714132986,0.02832850353060513,6,3.791662891693792,550,0.020287071464338616,0.9405536292917651,,"{""colsample_bytree"": 0.5994933652105375, ""gamma"": 1.2350691714132986, ""learning_rate"": 0.02832850353060513, ""max_depth"": 6, ""min_child_weight"": 3.791662891693792, ""n_estimators"": 550, ""reg_lambda"": 0.020287071464338616, ""subsample"": 0.9405536292917651}",COMPLETE
112,0.8121133078166572,2026-09-21 14:55:21.979547,2026-09-21 14:55:24.681150,0 days 00:00:02.701603,0.5985053438186415,1.7912558635248081,0.02831822781118293,6,5.0159878885307,550,0.0302932955957571,0.9978050036331939,,"{""colsample_bytree"": 0.5985053438186415, ""gamma"": 1.7912558635248081, ""learning_rate"": 0.02831822781118293, ""max_depth"": 6, ""min_child_weight"": 5.0159878885307, ""n_estimators"": 550, ""reg_lambda"": 0.0302932955957571, ""subsample"": 0.9978050036331939}",COMPLETE
113,0.8125007327781646,2026-09-21 14:55:24.681320,2026-09-21 14:55:27.897072,0 days 00:00:03.215752,0.6339232027491307,1.5926834541637822,0.02164309576643285,6,5.477064761359408,450,0.024915401992471737,0.9398059071006156,,"{""colsample_bytree"": 0.6339232027491307, ""gamma"": 1.5926834541637822, ""learning_rate"": 0.02164309576643285, ""max_depth"": 6, ""min_child_weight"": 5.477064761359408, ""n_estimators"": 450, ""reg_lambda"": 0.024915401992471737, ""subsample"": 0.9398059071006156}",COMPLETE
114,0.8133306939900276,2026-09-21 14:55:27.897339,2026-09-21 14:55:30.840301,0 days 00:00:02.942962,0.6636946021875044,1.4743767747864676,0.03440534384094608,6,4.21455026403898,600,0.023155986501210996,0.9396869152943357,,"{""colsample_bytree"": 0.6636946021875044, ""gamma"": 1.4743767747864676, ""learning_rate"": 0.03440534384094608, ""max_depth"": 6, ""min_child_weight"": 4.21455026403898, ""n_estimators"": 600, ""reg_lambda"": 0.023155986501210996, ""subsample"": 0.9396869152943357}",COMPLETE
115,0.8128137426018579,2026-09-21 14:55:30.840512,2026-09-21 14:55:34.895260,0 days 00:00:04.054748,0.6238231060441136,1.4251545925892812,0.041737871181724166,6,3.915554224643071,600,0.025012117451168266,0.9035572564012068,,"{""colsample_bytree"": 0.6238231060441136, ""gamma"": 1.4251545925892812, ""learning_rate"": 0.041737871181724166, ""max_depth"": 6, ""min_child_weight"": 3.915554224643071, ""n_estimators"": 600, ""reg_lambda"": 0.025012117451168266, ""subsample"": 0.9035572564012068}",COMPLETE
116,0.8131500215645572,2026-09-21 14:55:34.895659,2026-09-21 14:55:39.654738,0 days 00:00:04.759079,0.4311588291038039,0.7338790782413328,0.01888927635709563,6,3.848339769828493,400,0.005672346337968986,0.9579409512370791,,"{""colsample_bytree"": 0.4311588291038039, ""gamma"": 0.7338790782413328, ""learning_rate"": 0.01888927635709563, ""max_depth"": 6, ""min_child_weight"": 3.848339769828493, ""n_estimators"": 400, ""reg_lambda"": 0.005672346337968986, ""subsample"": 0.9579409512370791}",COMPLETE
117,0.8101815795586603,2026-09-21 14:55:39.655449,2026-09-21 14:55:43.028640,0 days 00:00:03.373191,0.6097712509034134,1.3277769843818037,0.029564887391660417,6,5.821106594015598,500,0.03420978655644728,0.9058954649189841,,"{""colsample_bytree"": 0.6097712509034134, ""gamma"": 1.3277769843818037, ""learning_rate"": 0.029564887391660417, ""max_depth"": 6, ""min_child_weight"": 5.821106594015598, ""n_estimators"": 500, ""reg_lambda"": 0.03420978655644728, ""subsample"": 0.9058954649189841}",COMPLETE
118,0.8111141121568343,2026-09-21 14:55:43.029181,2026-09-21 14:55:46.324562,0 days 00:00:03.295381,0.6362326800391461,1.473530089630071,0.03664655862351159,6,4.253842008876432,650,0.016870391218790075,0.9484670116458769,,"{""colsample_bytree"": 0.6362326800391461, ""gamma"": 1.473530089630071, ""learning_rate"": 0.03664655862351159, ""max_depth"": 6, ""min_child_weight"": 4.253842008876432, ""n_estimators"": 650, ""reg_lambda"": 0.016870391218790075, ""subsample"": 0.9484670116458769}",COMPLETE
