number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
11,0.8160567528039128,2026-09-21 14:25:13.888377,2026-09-21 14:25:37.252502,0 days 00:00:23.364125,0.11654237992736631,8,1000,6.68359096893876,0.01285539840009568,2.4992465997666318,,"{""bagging_temperature"": 0.11654237992736631, ""depth"": 8, ""iterations"": 1000, ""l2_leaf_reg"": 6.68359096893876, ""learning_rate"": 0.01285539840009568, ""random_strength"": 2.4992465997666318}",COMPLETE
12,0.8125687325477433,2026-09-21 14:25:37.252691,2026-09-21 14:26:04.789737,0 days 00:00:27.537046,0.08700062058193192,8,1200,4.242306430071233,0.023458530440312823,0.24148992412514692,,"{""bagging_temperature"": 0.08700062058193192, ""depth"": 8, ""iterations"": 1200, ""l2_leaf_reg"": 4.242306430071233, ""learning_rate"": 0.023458530440312823, ""random_strength"": 0.24148992412514692}",COMPLETE
13,0.8158897499018032,2026-09-21 14:26:04.789962,2026-09-21 14:26:22.520383,0 days 00:00:17.730421,0.09698525538495162,7,1100,4.60501294411114,0.010739257986027035,2.824444172219418,,"{""bagging_temperature"": 0.09698525538495162, ""depth"": 7, ""iterations"": 1100, ""l2_leaf_reg"": 4.60501294411114, ""learning_rate"": 0.010739257986027035, ""random_strength"": 2.824444172219418}",COMPLETE
14,0.8151871537061423,2026-09-21 14:26:22.520612,2026-09-21 14:26:38.735882,0 days 00:00:16.215270,0.03873578891505079,7,1000,15.532972795423161,0.013254842444109528,1.2642370109251948,,"{""bagging_temperature"": 0.03873578891505079, ""depth"": 7, ""iterations"": 1000, ""l2_leaf_reg"": 15.532972795423161, ""learning_rate"": 0.013254842444109528, ""random_strength"": 1.2642370109251948}",COMPLETE
15,0.812599653281046,2026-09-21 14:26:38.736102,2026-09-21 14:27:08.950136,0 days 00:00:30.214034,0.3483349436338753,8,1300,3.4329345650133565,0.018662509602834738,1.7537178757518828,,"{""bagging_temperature"": 0.3483349436338753, ""depth"": 8, ""iterations"": 1300, ""l2_leaf_reg"": 3.4329345650133565, ""learning_rate"": 0.018662509602834738, ""random_strength"": 1.7537178757518828}",COMPLETE
16,0.8163393506157348,2026-09-21 14:27:08.950362,2026-09-21 14:27:31.086819,0 days 00:00:22.136457,0.10709610124827601,7,1400,8.16348420480856,0.021469934045547638,2.1015138626932073,,"{""bagging_temperature"": 0.10709610124827601, ""depth"": 7, ""iterations"": 1400, ""l2_leaf_reg"": 8.16348420480856, ""learning_rate"": 0.021469934045547638, ""random_strength"": 2.1015138626932073}",COMPLETE
17,0.8098863871095741,2026-09-21 14:27:31.087053,2026-09-21 14:28:07.102419,0 days 00:00:36.015366,0.1319231752396672,8,1500,11.625649248401388,0.03262377598338484,2.504288515858669,,"{""bagging_temperature"": 0.1319231752396672, ""depth"": 8, ""iterations"": 1500, ""l2_leaf_reg"": 11.625649248401388, ""learning_rate"": 0.03262377598338484, ""random_strength"": 2.504288515858669}",COMPLETE
18,0.8145646147814587,2026-09-21 14:28:07.102738,2026-09-21 14:28:31.282509,0 days 00:00:24.179771,0.12084266590431318,7,1500,6.1029270323521905,0.01779739270263377,1.6170172642829934,,"{""bagging_temperature"": 0.12084266590431318, ""depth"": 7, ""iterations"": 1500, ""l2_leaf_reg"": 6.1029270323521905, ""learning_rate"": 0.01779739270263377, ""random_strength"": 1.6170172642829934}",COMPLETE
19,0.8142269155588886,2026-09-21 14:28:31.282724,2026-09-21 14:28:47.846230,0 days 00:00:16.563506,0.1533140152230886,8,700,10.423172752190215,0.019127605878724297,1.5928702114113484,,"{""bagging_temperature"": 0.1533140152230886, ""depth"": 8, ""iterations"": 700, ""l2_leaf_reg"": 10.423172752190215, ""learning_rate"": 0.019127605878724297, ""random_strength"": 1.5928702114113484}",COMPLETE
20,0.8127386375665895,2026-09-21 14:28:47.846406,2026-09-21 14:29:00.449610,0 days 00:00:12.603204,0.10251455795691329,7,800,12.064367571667697,0.013134639535607263,2.6663159684471407,,"{""bagging_temperature"": 0.10251455795691329, ""depth"": 7, ""iterations"": 800, ""l2_leaf_reg"": 12.064367571667697, ""learning_rate"": 0.013134639535607263, ""random_strength"": 2.6663159684471407}",COMPLETE
